announcedate,keydeveventtypeid,headline
2004-01-22,29,BHP Billiton Plc Earnings Estimates Raised by Investec for Fiscal 2004 and Fiscal 2005
2004-01-29,22,Mithril Resources Ltd. Announces Joint Venture Agreement With BHP Billiton Ltd
2004-01-29,44,Chilean Copper Union Threatens Strike Action over Contract Dispute with BHP Billiton Ltd
2004-01-30,25,BHP to Face Lawsuit Over Coal Job Cuts
2004-02-03,27,Morgan Stanley Raised Outlook of BHP Billiton Ltd. for 2004 and 2005
2004-02-05,16,BHP Billiton plc Announces Resignation of Mr Brad Mills as Chief Executive
2004-02-05,16,BHP Billiton plc Announces Resignation of Mr. Brad Mills as Chief Executive
2004-02-05,44,BHP Billiton Ltd. Cerro Colorado Union to Meet Management for Talks
2004-02-05,101,BHP Billiton plc Announces Resignation of Mr. Brad Mills as Chief Executive
2004-02-05,101,BHP Billiton plc Announces Resignation of Mr Brad Mills as Chief Executive
2004-02-05,31,BHP Billiton Ltd. to Spend $94.5 Million Expanding Iron Ore Division
2004-02-17,29,BHP Billiton Ltd. Second Quarter Profit Probably Rose 59% on Sales to China for Fiscal Year 2004
2004-02-18,28,"BHP Billiton Ltd. Reports Profits for the Year Ended December 31, 2003"
2004-02-19,28,"BHP Billiton Reports Results for the First-Half Ended Dec. 31, 2003"
2004-02-24,27,BHP Billiton Ltd. Raised Earnings Forecast at Investec Securities for the Full Fiscal Year 2004; Provides Outlook for the Fiscal Year 2005
2004-02-24,29,BHP Billiton Ltd. Raised Earnings Forecast at Investec Securities for the Full Fiscal Year 2004; Provides Outlook for the Fiscal Year 2005
2004-02-26,16,BHP Billiton Ltd. Announces Executive Changes
2004-02-26,80,Quadra Mining Ltd. entered into an agreement to acquire the Robinson mine from BHP Billiton for approximately $18 million.
2004-02-27,25,Supreme Court Approves Dismissal of Proceedings Against BHP Billiton and Ok Tedi Mining
2004-02-27,25,BHP Billiton Ltd. Reaches a Settlement with Dalmine SpA
2004-03-01,22,BHP Billiton Ltd. Announces China Venture
2004-03-02,31,BHP Billiton plc Announces the approval of a significant brownfields expansion project in its Western Australian
2004-03-04,16,BHP Billiton Ltd. Appoints Diego Hernandez as President of Base Metals Customer Sector Group
2004-03-08,21,BHP Billiton shuts two SA chrome mines for safety revamp
2004-03-09,22,BHP Billiton Ltd. Entered into a joint venture with Mithril Resources Ltd
2004-03-10,23,BHP Billiton Ltd. Backs NWS Expansion
2004-03-16,32,BHP Billiton PLC Announces Organisation Structure Change; Announces Executive appointments
2004-03-16,16,BHP Billiton PLC Announces Organisation Structure Change; Announces Executive appointments
2004-03-16,16,BHP Billiton announced the resignation of Mike Oppenheimer as President
2004-03-16,16,Rebecca A. McDonald Appointed as President Gas and Power of BHP Billiton
2004-03-23,31,BHP Plans $1.4 Billion Nickel Expansion in Australia
2004-03-24,12,BHP Billiton Plc Delisted From Euronext Paris
2004-03-25,31,BHP Billiton Plans to Expand Ekati Diamond Mine in Canada
2004-03-31,16,BHP Billiton Ltd. Announces Management Changes
2004-04-06,27,Deutsche Bank AG Increases Guidance of BHP Billiton for 2004 and 2005
2004-04-06,22,Minotaur Announces Two Joint Ventures with BHP Billiton
2004-04-06,31,BHP Billiton approves 850 mln usd Escondidia copper sulphide leach project
2004-04-08,81,Quadra Mining Ltd. completed the acquisition of the Robinson mine from BHP Billiton for approximately $14.3 million.
2004-04-27,12,BHP Billiton To Delist From New Zealand Stock Exchange
2004-05-05,31,BHP Expands WA Alumina Refinery
2004-05-10,23,Mermaid sign contract to service BHP's Griffin venture
2004-05-20,16,BHP Billiton Ltd. Announces Appointment of Rebecca McDonald as President Gas Power and to Executive Committee
2004-05-20,16,Bhp Billiton plc Announces Resignation of Mike Oppenheimer as Its President of Energy Coal Customer Sector Group
2004-05-26,31,BHP Billiton Ltd. Announces the Approval of the Escondida Sulphide Leach Copper Project in Chile
2004-06-16,80,"Announced Merger/Acquisition Transaction - Target: Perkoa Zinc Project; Buyer(s): Aim Resources Ltd.; Seller(s): BHP Billiton Ltd., Metorex Ltd.; Transaction Size: $1.07008 mm"
2004-06-17,60,BHP Billiton Ltd. Plans to Move Base Metals Division Headquarters to Chile
2004-06-19,24,Australian Government has Unveiled an Investigation into BHP Billiton Ltd
2004-06-29,22,Steel Authority Of India Ltd. Joint Ventures with BHP
2004-07-02,29,BHP Billiton Provides Earnings Outlook for Fiscal Year 2005
2004-07-05,27,BHP Billiton Ltd. Cut Outlook for the Full Year 2004; Raises Outlook for the Full Year 2005 and 2006
2004-07-05,26,BHP Billiton Ltd. Cut Outlook for the Full Year 2004; Raises Outlook for the Full Year 2005 and 2006
2004-07-14,22,"Shear, Stornoway Diamond and BHP Billiton Announces Commencement of $8.5 Million Churchill Program"
2004-07-15,21,BHP Sacks 250 Contractors from W.Australian Iron Ore Plant
2004-07-17,44,Pilbara Unions Unite to Take Industrial Relations War Against BHP Billiton
2004-07-19,29,BHP Billiton Ltd. Provides Earnings Outlook for Fiscal 2004
2004-07-23,23,"BHP Set to Ink Deal for 2 Oil, Gas Sites"
